,alt,sum,brw,mhd,thd,nwr,kum,mlo,smo,cgo,ush,psa,spo
2009-07-01,213.32850988056893,209.99075891057709,209.04075569941028,211.18521856706985,209.35752140121647,205.08918654835574,214.35370708201503,209.30215419559408,27.109177787551346,227.76219584858546,,188.47183664555047,165.3859803850265
2009-08-01,210.26017982043956,211.91426644353308,211.7293793545993,206.5172272335693,211.07822094073023,214.74302972727392,212.0033103983498,204.67360601671473,195.75451009017132,262.18858708930344,,187.71485569662812,196.52126305266145
2009-09-01,212.68673387412028,210.95444419071188,210.9261691977122,213.41097328512333,211.47240255535252,212.09164721159016,215.64957718644357,204.14987565360747,191.65642922600975,224.52492972944012,,189.86648871744887,174.91001606716117
2009-10-01,212.90997006188556,213.0595965711409,212.73509221282137,217.48225006568077,216.27613797098465,211.67711938693708,213.05209257541088,211.93999636972578,211.27199206546567,214.37445079091896,,189.4337335155405,175.56677508412676
2009-11-01,214.5363989163661,215.3807291529641,213.75354374013966,217.35928830761702,215.43856027918622,213.86592152389196,221.7316106806245,207.82949161130847,145.99845088407633,213.7848964631971,,190.47765635583644,169.59101744686745
2009-12-01,216.60364824654923,215.76289467101012,215.80363341274813,215.05761975030472,216.75227563843973,213.6440063027968,220.73257168068096,209.32519513972596,197.8807395101409,223.47625079386597,,189.37553055589336,194.73421082791998
2010-01-01,218.5125056860449,216.15493138891497,216.9465193522173,215.5319592374929,217.95478570831528,214.96368034936992,217.38963372396634,204.02457708724626,237.80006925921694,213.88263333124152,,190.53033732826253,152.75367235248115
2010-02-01,218.03630253857224,216.9061581332406,216.6692688839266,215.62109534664694,216.31563547615616,212.85016042045692,216.4415326587545,212.3101356725201,210.40903794177476,217.61296271798943,,189.58331809516335,279.8500390721976
2010-03-01,218.68213580641762,215.3748216271402,216.99400660137954,213.87609793793277,215.54325440376235,209.7550140135609,216.2471917812234,214.96390787900617,205.92835098766065,224.12094154525457,,190.46754104081793,184.7498235629762
2010-04-01,217.20302650507142,215.97200994336455,217.205589867892,217.0327560749853,218.55097621960286,210.59131420428628,226.42267856812768,206.14504197860992,207.3365441027929,216.44969949535422,,191.02637486933685,200.76515710979191
2010-05-01,215.91231641720083,218.01042918661307,217.15372242394108,217.08091480896204,216.84065003198407,213.40926403865194,215.7562538775647,212.27042223443982,238.52794603237504,228.59545602865325,,191.6073529429816,199.217676733163
2010-06-01,217.2543334621111,217.7523823946967,217.09537733711792,217.29328210297976,218.63838317500017,217.72917493752604,224.4238293042959,213.13652699138868,217.85464674127348,209.3516879347694,,193.07105674906333,176.69432771535298
2010-07-01,216.44787699546657,218.7867740859307,216.28566782363566,217.50262696566773,219.01563252083864,214.55458912102318,216.99992594494753,208.81736122997364,195.91831443275953,269.0046361101887,,194.1697834244358,192.89311418844014
2010-08-01,217.02960098178724,221.959838100761,219.23867353850272,217.3298957505701,217.18272195121637,216.04460023942863,219.91528066917374,216.83759315135558,198.32864026347485,243.65131174939478,,195.45004173838564,191.2219114796282
2010-09-01,218.99462196964112,219.39003874810138,219.08237451591077,219.69915664729035,222.07743675447378,223.61957847584262,219.92871671421833,213.99536554271126,199.66843015280662,304.07089036464083,,196.13830032008883,296.40531929318377
2010-10-01,220.270638661105,221.34475284772958,220.10315489178882,220.93056324880257,222.7045302724931,218.38720442574711,230.02734044912913,218.73538788736147,200.1047979110838,259.56242000154253,,196.89336268058713,168.5967956774991
2010-11-01,221.35984433732253,224.14489540988018,221.9716120705362,222.1493708280193,223.16222179204684,217.00641496011175,233.88031521891804,216.54649074450003,196.7055261148029,224.78153825751343,,197.72294959343472,221.87618572144586
2010-12-01,223.20593431320447,222.35032086105713,223.9715120660201,223.18987556443722,223.08716673275478,221.45466344177893,246.3883733198543,217.77408867473633,201.02697679420405,235.8312091704987,,197.36644501383122,180.9233482203695
2011-01-01,224.45188177605775,225.26091993830948,227.11180295213862,223.6945995460925,229.56786879425937,223.44723159496294,230.52711160983057,213.7151931871698,203.01766749940256,238.34371245155603,,197.28620264075838,220.8166124101496
2011-02-01,227.12334602939958,222.27611297179658,223.9559176840021,222.36756915483716,221.67050709736824,218.63810645233943,223.7222197911548,218.84870575073012,204.56576561227305,228.34061669838079,,197.73079872749494,184.85906647347025
2011-03-01,223.186596530365,223.14312646310964,223.70788708941203,222.21784780852929,221.91353807719014,221.2408287021804,232.929075349103,216.15929268172113,204.37380205867933,238.47821890298775,,198.2566889664672,281.5762441664822
